PERI,Isocortex,1412,7780,5060,9880
RT,Thalamus,1395,5980,4745,7060
BLA,Cortical Subplate,1381,6475,3860,8435
SSp-n,Isocortex,1358,5620,2663,8576
FL,Cerebellar Cortex,1348,10580,4970,8110
VPM,Thalamus,1301,7403,4366,7036
NOD,Cerebellar Cortex,1276,11700,3740,5750
VISpm,Isocortex,1265,8360,840,7000
SNr,Midbrain,1241,8606,4996,6860
CEA,Striatum,1236,6780,5520,8097
VAL,Thalamus,1196,6510,4230,6810
MD,Thalamus,1193,6583,3813,5826
MV,Medulla,1178,11140,4995,6725
NDB,Pallidum,1168,4440,6130,5460
PAR,Hippocampal Formation,1104,9663,3243,8273
PO,Thalamus,1102,7394,3682,6740
PSV,Pons,1093,9895,5005,7490
LPO,Hypothalamus,1081,4923,5786,6066
TR,Olfactory Areas,1069,8430,6220,9120
BMA,Cortical Subplate,1053,7016,6346,8000
ORBm,Isocortex,1024,2510,3620,5710
APN,Midbrain,967,8112,3237,6780
LD,Thalamus,947,6533,3123,6860
RSPagl,Isocortex,937,7500,770,6790
MPO,Hypothalamus,903,5248,6190,5930
VISl,Isocortex,880,8833,1943,8886
LP,Thalamus,856,8270,3300,7550
VCO,Medulla,854,10125,5180,8200
AHN,Hypothalamus,842,6190,6305,5776
PB,Pons,832,10462,4152,6667
SPVC,Medulla,806,12933,5736,6886
POST,Hippocampal Formation,789,9410,2035,7765
NLL,Pons,753,10050,3540,7300
VTA,Midbrain,747,8340,5015,5515
RE,Thalamus,716,6470,5222,5255
PH,Hypothalamus,697,7390,5775,5736
PGRNl,Medulla,692,11851,6651,6225
MS,Pallidum,691,5030,4875,5450
LSc,Striatum,690,5090,3370,5910
VISpl,Isocortex,679,9750,2070,8980
TRN,Pons,669,9355,6225,5705
VM,Thalamus,665,7032,5117,6277
VII,Medulla,660,10785,5510,6735
PCG,Pons,652,10400,4660,5816
AAA,Striatum,624,5670,6630,7410
PVT,Thalamus,615,6366,3700,5316
LGd,Thalamus,605,7690,3090,7600
CS,Pons,584,9350,5190,5500
AOB,Olfactory Areas,571,2320,3740,6230
LRN,Medulla,562,12060,6640,6095
PYR,Cerebellar Cortex,551,12870,3340,5870
IP,Cerebellar Nuclei,529,11435,3945,7335
SPIV,Medulla,513,11426,4763,6816
PF,Thalamus,496,7540,4280,6305
TU,Hypothalamus,466,7580,7030,5870
VMH,Hypothalamus,456,6566,6690,5876
LGv,Thalamus,409,7780,4380,7760
CM,Thalamus,390,6950,4742,5625
AV,Thalamus,385,6093,3856,6406
MM,Hypothalamus,374,7930,5670,5735
SUV,Medulla,360,10680,4780,7510
RN,Midbrain,357,8300,4700,6190
FN,Cerebellar Nuclei,337,11550,3600,6250
DP,Olfactory Areas,335,3540,4180,5820
CUN,Midbrain,330,9770,3490,6600
XII,Medulla,315,12425,5450,5330
LH,Thalamus,307,7180,2110,5980
SPFp,Thalamus,279,8150,4410,7290
IPN,Midbrain,257,8900,5500,5700
MPN,Hypothalamus,215,5520,6480,5750
STN,Hypothalamus,204,7220,5410,7300
MEPO,Hypothalamus,167,5010,6670,5760
TRS,Pallidum,159,5470,3410,5600
DR,Midbrain,145,9130,3830,5740
PT,Thalamus,118,5746,4483,5906
MPT,Midbrain,104,8010,2810,5710
SAG,Midbrain,93,9720,3680,7240
OP,Midbrain,76,7950,2520,5970
GR,Medulla,47,13040,5240,5880
